,label,calc_dG,calc_err,exp_dG,exp_err,dataset
61,2g,-10.784157003527508,0.10075066406672306,-10.65999984741211,0.0,p38
62,2h,-7.141559138758819,0.12483212614500507,-9.479999542236328,0.0,p38
63,2i,-10.393409672566648,0.11382945080741032,-10.050000190734863,0.0,p38
64,2c,-11.53121926838138,0.17541941358571236,-10.460000038146973,0.0,p38
65,3fmk,-12.265636142103858,0.45966432159515014,-11.829999923706056,0.0,p38
66,3fmh,-10.305636142103864,0.43342357392034325,-10.829999923706056,0.0,p38
67,2y,-9.601315008676877,0.3348789713885479,-9.779999732971191,0.0,p38
21,18628-1_flip,-7.32563480342377,0.13330640625019222,-8.699999809265137,0.0,jnk1
22,18627-1,-7.868231547745836,0.12839096667628028,-8.479999542236328,0.0,jnk1
23,18625-1,-7.943444531467415,0.15390947281002734,-8.109999656677246,0.0,jnk1
24,18633-1,-8.004074222470472,0.11784706165852564,-9.170000076293944,0.0,jnk1
25,18630-1,-7.71760868001995,0.1116502060278473,-9.140000343322754,0.0,jnk1
26,18632-1,-8.142449307761442,0.11244799403897465,-9.079999923706056,0.0,jnk1
27,18624-1,-7.333922160866036,0.11081668987857447,-8.489999771118164,0.0,jnk1
28,18638-1,-10.347774150740046,0.14702271298658226,-10.09000015258789,0.0,jnk1
29,18634-1,-10.265551928517823,0.11830735613176088,-9.989999771118164,0.0,jnk1
30,18652-1,-10.506663039628936,0.18351885515506852,-10.68000030517578,0.0,jnk1
31,18631-1,-9.34996173587334,0.10605359210622473,-9.40999984741211,0.0,jnk1
32,18626-1,-8.181122160866037,0.11360103828091221,-8.869999885559082,0.0,jnk1
33,18629-1,-7.923922160866034,0.11562194425687272,-8.670000076293945,0.0,jnk1
34,17124-1,-10.606329432438955,0.1339439169409721,-9.68000030517578,0.0,jnk1
35,18637-1,-11.175348029794993,0.2107125535463014,-10.140000343322754,0.0,jnk1
36,18659-1,-10.051121105400483,0.2361062723384232,-9.470000267028809,0.0,jnk1
37,18658-1,-10.800504643053722,0.3309477406085861,-9.699999809265137,0.0,jnk1
38,18660-1,-10.211121105400473,0.39277823675213575,-8.699999809265137,0.0,jnk1
39,18639-1,-11.13832584740646,0.15664761781283154,-9.739999771118164,0.0,jnk1
40,18636-1,-8.573444531467416,0.17051421421462787,-7.510000228881836,0.0,jnk1
41,18635-1,-7.6434445314674155,0.15995842350195877,-7.289999961853027,0.0,jnk1
16,28,-10.741246550071587,0.35033983188143164,-11.109999656677246,0.0,cdk2
17,32,-9.210659167910585,0.317385700815107,-9.75,0.0,cdk2
18,1h1s,-10.732472075814837,0.20841877208253132,-11.25,0.0,cdk2
19,22,-6.920439783667026,0.12621757844622597,-7.860000133514404,0.0,cdk2
20,1h1q,-7.762797725982745,0.10416730223859892,-8.180000305175781,0.0,cdk2
21,1oi9,-10.021073998590449,0.17809863843741275,-9.739999771118164,0.0,cdk2
22,17,-8.666654925823185,0.10573241510774052,-7.039999961853027,0.0,cdk2
23,1oiu,-11.174191822512455,0.15181419920754446,-9.079999923706056,0.0,cdk2
24,1h1r,-8.737883485855095,0.1053831059776992,-7.670000076293945,0.0,cdk2
25,26,-8.525262114783404,0.14357837467816867,-8.430000305175781,0.0,cdk2
26,31,-8.584426802766712,0.1389658748822844,-9.539999961853027,0.0,cdk2
27,30,-8.96893890646945,0.15266333056109416,-9.8100004196167,0.0,cdk2
28,29,-9.500299719233457,0.37096619598135383,-9.880000114440918,0.0,cdk2
29,21,-7.736597896776934,0.1427383554404749,-7.829999923706055,0.0,cdk2
30,20,-8.71266963033803,0.3992867804382241,-8.720000267028809,0.0,cdk2
31,1oiy,-9.68438617541783,0.40783174008356343,-9.789999961853027,0.0,cdk2
23,23467,-6.05466375581776,0.1418858866098779,-7.340000152587891,0.0,ptp1b
24,23468,-7.387538527302016,0.1790622796093521,-7.75,0.0,ptp1b
25,23476,-9.782433987970567,0.16526113517838512,-9.40999984741211,0.0,ptp1b
26,23466,-5.221752608048693,0.1318720292218999,-7.849999904632568,0.0,ptp1b
27,20669,-7.415041567146961,0.16587245667310474,-8.609999656677246,0.0,ptp1b
28,23473,-8.083205893684553,0.16913796177422027,-8.390000343322754,0.0,ptp1b
29,23474,-8.902376623509898,0.218950240956808,-9.109999656677246,0.0,ptp1b
30,23475,-8.901752608048643,0.29828315538553896,-8.720000267028809,0.0,ptp1b
31,23330,-10.692840617908335,0.3215459214915467,-10.130000114440918,0.0,ptp1b
32,20670,-9.269950625487791,0.1436486079521492,-9.079999923706056,0.0,ptp1b
33,23472,-8.304627751469031,0.3536940035046911,-8.649999618530273,0.0,ptp1b
34,23482,-10.783565964002708,0.27957686675298254,-10.010000228881836,0.0,ptp1b
35,23479,-8.56356596400262,0.15442096075036635,-9.140000343322754,0.0,ptp1b
36,23486,-12.457904431308794,0.28059428538318704,-12.470000267028809,0.0,ptp1b
37,23471,-7.407250220023631,0.1739423535987154,-7.75,0.0,ptp1b
38,23470,-9.217250220023633,0.22538726813271867,-7.71999979019165,0.0,ptp1b
39,23480,-9.703484664572887,0.15451666375137607,-8.720000267028809,0.0,ptp1b
40,23484,-11.45691033589809,0.3094502544723961,-7.75,0.0,ptp1b
41,23485,-9.97147280270433,0.28357335168168296,-11.010000228881836,0.0,ptp1b
42,23483,-10.078525314287756,0.2641731517903112,-9.869999885559082,0.0,ptp1b
43,20667,-11.940160671741086,0.28111682364504625,-11.420000076293944,0.0,ptp1b
44,23477,-8.850519695221998,0.1446552149948185,-8.850000381469727,0.0,ptp1b
45,23469,-7.023205893684551,0.18974536170101927,-7.71999979019165,0.0,ptp1b
16,ejm_50,-9.31134184190213,0.051917436145631234,-8.979999542236328,0.0,tyk2
17,ejm_42,-9.283004226209393,0.048187402413470755,-9.779999732971191,0.0,tyk2
18,ejm_48,-8.835434075510463,0.20807775939453602,-9.0,0.0,tyk2
19,ejm_55,-10.07841518036365,0.10449437452331499,-9.210000038146973,0.0,tyk2
20,ejm_54,-10.254150284209427,0.12607821229488203,-10.529999732971191,0.0,tyk2
21,jmc_23,-11.348969204452688,0.06739234554058887,-11.699999809265137,0.0,tyk2
22,jmc_28,-10.618647676027711,0.08127987671384453,-10.979999542236328,0.0,tyk2
23,ejm_31,-9.873601077705256,0.045597150043345656,-9.539999961853027,0.0,tyk2
24,jmc_27,-11.398829409485307,0.07254541527578902,-11.279999732971191,0.0,tyk2
25,jmc_30,-11.627175169037963,0.07629702894058304,-10.9399995803833,0.0,tyk2
26,ejm_49,-8.81032413834606,0.11530664080683291,-7.75,0.0,tyk2
27,ejm_44,-6.285845786318191,0.15151077770795732,-7.420000076293945,0.0,tyk2
28,ejm_43,-7.572796014423357,0.14975081892189643,-8.260000228881836,0.0,tyk2
29,ejm_47,-9.921056422721529,0.1591282516373245,-9.699999809265137,0.0,tyk2
30,ejm_45,-9.593601077705255,0.12987147528258608,-9.5600004196167,0.0,tyk2
31,ejm_46,-11.126807042290526,0.06802105095187269,-11.3100004196167,0.0,tyk2
42,53,-11.233826800836077,0.17880402223824787,-9.960000038,0.0,mcl1
43,63,-10.796452253265265,0.19725367707795824,-9.06000042,0.0,mcl1
44,58,-11.224930340862919,0.18557154527346917,-9.409999847,0.0,mcl1
45,33,-7.6363067104146225,0.24958213613405122,-6.880000114,0.0,mcl1
46,34,-8.434948748137678,0.26728939879811553,-6.869999886,0.0,mcl1
47,48 flip,-2.500805819426674,0.32480732524592665,-6.659999847,0.0,mcl1
48,35,-8.331407193452343,0.17082753031394987,-8.81000042,0.0,mcl1
49,41 flip,-9.064828751038952,0.5515863706231174,-7.130000114,0.0,mcl1
50,45,-8.618375319370905,0.38946875760027483,-8.949999809,0.0,mcl1
51,23,-7.330948784388504,0.2676522015751867,-8.829999924,0.0,mcl1
52,42,-7.226174915041888,0.2505558322148192,-8.899999619,0.0,mcl1
53,66,-8.900144764288022,0.26755205039022006,-8.430000305,0.0,mcl1
54,64,-8.827386504155065,0.29476984633368475,-9.5,0.0,mcl1
55,54,-9.272443571758167,0.2871194371396217,-9.779999733,0.0,mcl1
56,62,-6.489452824780464,0.2534353243029397,-7.960000038,0.0,mcl1
57,57,-7.281580628362057,0.24931102434757593,-9.039999962,0.0,mcl1
58,68,-7.348007697801556,0.2508375303184793,-7.690000057,0.0,mcl1
59,44,-8.493180783512564,0.25194946098039034,-8.670000076,0.0,mcl1
60,51,-6.4408304969895696,0.2626663864181648,-8.449999809,0.0,mcl1
61,60,-9.050370768344202,0.1953015204817506,-8.920000076,0.0,mcl1
62,61,-8.267020142006963,0.2179534024102606,-8.079999924,0.0,mcl1
63,67,-9.714082108550421,0.20530500689544118,-7.579999924,0.0,mcl1
64,65,-10.468154273498861,0.20384719881827468,-8.409999847,0.0,mcl1
65,26,-8.08671580679782,0.24825890854681304,-8.239999771,0.0,mcl1
66,27,-6.2170865682460175,0.14856112540730157,-6.119999886,0.0,mcl1
67,43 flip,-6.448866261014842,0.28378431679253324,-7.03000021,0.0,mcl1
68,31,-9.13957398032678,0.17664710413115609,-7.920000076,0.0,mcl1
69,38 flip,-9.968279997756657,0.717402640240805,-7.019999981,0.0,mcl1
70,47 flip,-5.825460491063559,0.27624668703980365,-5.78000021,0.0,mcl1
71,40 flip,-7.270096683423683,0.2137351946903363,-7.25,0.0,mcl1
72,39,-7.053612566434985,0.24418336886977515,-7.03000021,0.0,mcl1
73,46 flip,-7.058265514396179,0.22602845698055193,-7.599999905,0.0,mcl1
74,28,-5.7765682212267695,0.20293568072335302,-6.619999886,0.0,mcl1
75,30 flip,-6.450323401280423,0.16750643948494412,-7.849999905,0.0,mcl1
76,49,-8.097542302291082,0.22649536036538798,-8.359999657,0.0,mcl1
77,36,-9.524943975776516,0.17628945083374176,-8.180000305,0.0,mcl1
78,37,-9.152870136528968,0.17706302234540142,-8.949999809,0.0,mcl1
79,50,-8.496490086262689,0.2264735170590484,-9.329999924,0.0,mcl1
80,52,-9.970442605255066,0.1794519623178069,-9.229999542,0.0,mcl1
81,56,-9.253900238695955,0.1841763781399304,-9.260000229,0.0,mcl1
82,29,-5.876568221226782,0.29542872000854825,-6.940000057,0.0,mcl1
83,32,-6.64073201770821,0.27338171471638895,-6.579999924,0.0,mcl1
11,1a,-7.058660327883921,0.0431375044912887,-7.480000019073486,0.0,thrombin
12,3b,-8.416284637276187,0.07308406981062646,-7.860000133514404,0.0,thrombin
13,5,-6.658439333408783,0.08757042366213487,-7.579999923706055,0.0,thrombin
14,1c,-8.920491313799415,0.0684875886529654,-8.5600004196167,0.0,thrombin
15,3a,-8.501864747773425,0.07675255559897351,-8.319999694824219,0.0,thrombin
16,1b,-8.513167370137442,0.041235497742879275,-8.460000038146973,0.0,thrombin
17,6b,-8.843179965430776,0.07539817977620045,-8.890000343322754,0.0,thrombin
18,7a,-8.22779050570257,0.07608348866261556,-8.220000267028809,0.0,thrombin
19,1d,-9.005984271545895,0.06754887318809517,-8.25,0.0,thrombin
20,6e,-8.560664221314106,0.060750793069298446,-8.90999984741211,0.0,thrombin
21,6a,-9.003474297548774,0.08819763886482754,-9.18000030517578,0.0,thrombin
