Parameter,Reference,Iteration,Value,Attribute,smirks,SMIRKS
n8,1.377051329051,2,1.380650979586,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,2,1.38625378794,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,2,0.6088282836873,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,2,0.3003832397188,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,2,1.958851622452,rmin_half,[#6:1],[#6:1]
n15,1.908,2,1.901871263822,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,2,1.89491879869,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,2,1.71543640487,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,2,1.704035264482,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,2,1.682826927662,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,2,1.810493794391,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,2,1.855364863651,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,2,1.936381203099,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,3,1.477731130409,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,3,1.438859716294,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,3,1.300031318456,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,3,1.192137198058,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,3,1.43147886293,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,3,1.368932270993,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,3,1.387229783043,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,3,0.6298137578741,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,3,0.3000000000027,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,3,1.959606383454,rmin_half,[#6:1],[#6:1]
n15,1.908,3,1.893044735614,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,3,1.892615241482,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,3,1.717294990269,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,3,1.703407263871,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,3,1.683736987569,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,3,1.811994166044,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,3,1.852728829671,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,3,1.937398449867,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,4,1.478414161516,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,4,1.436159338245,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,4,1.30008304994,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,4,1.195738841548,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,4,1.430058088717,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,4,1.370760551874,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,4,1.382592678986,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,4,0.631871689107,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,4,0.3000000000059,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,4,1.964375734664,rmin_half,[#6:1],[#6:1]
n15,1.908,4,1.907116588981,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,4,1.895829617323,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,4,1.719982310293,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,4,1.706742617029,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,4,1.678699695792,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,4,1.811091118385,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,4,1.859307282232,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,4,1.936232412586,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,5,1.477191907731,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,5,1.439013222834,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,5,1.299148099023,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,5,1.196065159014,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,5,1.42601314331,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,5,1.368510277472,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,5,1.380222867589,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,5,0.6330526581006,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,5,0.300000000006,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,5,1.971739266924,rmin_half,[#6:1],[#6:1]
n15,1.908,5,1.898926363196,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,5,1.89614329853,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,5,1.718003138199,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,5,1.704970542778,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,5,1.675620618403,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,5,1.823432397669,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,5,1.862578644601,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,5,1.936144113296,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,6,1.477284258414,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,6,1.440157285996,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,6,1.297503798392,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,6,1.192283292889,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,6,1.423429940129,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,6,1.369135618354,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,6,1.387040108222,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,6,0.619240957511,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,6,0.2999999999842,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,6,1.975787811548,rmin_half,[#6:1],[#6:1]
n15,1.908,6,1.895743292387,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,6,1.898765182448,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,6,1.714167728336,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,6,1.710608913797,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,6,1.674108822049,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,6,1.818995688841,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,6,1.861855736242,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,6,1.936019957858,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,7,1.477785766558,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,7,1.438516844017,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,7,1.296585777341,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,7,1.191023344353,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,7,1.421868774654,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,7,1.373109330877,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
