,Index,Id,SMIRKS,Attribute,smiles_1,smiles_2,property_type,property_id,pval,grad_contribution
20935,19,n14,[#6:1],epsilon,BrCCBr,CCC(=O)OC,Density,dens_1860027304017736150,0.5590649040567166,-0.0136094501271519
3403,19,n14,[#6:1],epsilon,CN(C)C=O,Cc1ccccc1Cl,EnthalpyOfMixing,dhmix_1670364528496870559,27.040135145958473,-0.0135372407047247
39367,19,n14,[#6:1],epsilon,CCC(C)=O,CN1CCCC1=O,Density,dens_1354588388489384902,0.4114022581887144,-0.0134223550717784
18811,19,n14,[#6:1],epsilon,CCCCCCC,CNc1ccccc1,EnthalpyOfMixing,dhmix_278334692660393021,-30.247690572174207,-0.0133954247907236
4915,19,n14,[#6:1],epsilon,BrCCCBr,COC=O,Density,dens_398260729245374704,0.4438480215958698,-0.0133252302384113
27451,19,n14,[#6:1],epsilon,O,OC1=NCCC1,Density,dens_1192491633684345401,0.2139872680406153,-0.0131928408526476
21547,19,n14,[#6:1],epsilon,C1CCOCC1,O=C1CCCC1,Density,dens_1539654406736576807,0.3112408488776964,-0.0129136700411378
39511,19,n14,[#6:1],epsilon,CCC(C)=O,CN1CCCC1=O,Density,dens_2035401379156582518,0.4066483626090301,-0.0127353981841752
18775,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccc1Cl,Density,dens_1191185394819541532,0.6810617676551098,-0.0126108154270992
28027,19,n14,[#6:1],epsilon,CN(C)C=O,ClCCCCCl,Density,dens_765057686797526715,0.3524117545905225,-0.0126059032021917
1279,19,n14,[#6:1],epsilon,OCCO,OCc1ccccc1,Density,dens_1698159396404241323,1.4105214822858267,-0.0125838686543951
13447,19,n14,[#6:1],epsilon,CC(=O)N(C)C,ClCCCCCl,Density,dens_833309518494254389,0.2771425235482568,-0.0124931635795107
12799,19,n14,[#6:1],epsilon,BrCCBr,CCOC(=O)CC,Density,dens_1193015082780501702,0.4497393229889862,-0.0123752642836413
39331,19,n14,[#6:1],epsilon,CCC(C)=O,CN1CCCC1=O,Density,dens_1155626281932782094,0.3457145513630838,-0.0121768240844463
955,19,n14,[#6:1],epsilon,BrCCCCBr,COC=O,Density,dens_460757700461114532,0.3884381030998134,-0.0121671643299168
7939,19,n14,[#6:1],epsilon,CC(=O)N(C)C,ClCCCl,Density,dens_466640151895915379,0.2619084014454544,-0.0121253954182844
23563,19,n14,[#6:1],epsilon,C1CCOCC1,O=C1CCCCC1,Density,dens_1296485655493191092,0.2991518823959169,-0.0118667783682794
21151,19,n14,[#6:1],epsilon,Cc1ccccc1N,Cc1cccnc1,Density,dens_1445313714023685702,1.618964229498121,-0.011799659635413
7759,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccn1,Density,dens_981500521813591443,0.9527687146882,-0.0117610149882613
1747,19,n14,[#6:1],epsilon,CCCCCl,CN(C)C=O,Density,dens_15008167137789802,0.324648905097618,-0.0114025942920326
883,19,n14,[#6:1],epsilon,BrCCCCBr,COC=O,Density,dens_4438302718372985,0.1886898937227689,-0.0112022615227758
28315,19,n14,[#6:1],epsilon,O,O=C1CCCO1,Density,dens_520201021244222151,0.218384825790111,-0.0110696414467656
6103,19,n14,[#6:1],epsilon,C1COCCO1,O=C1CCCC1,Density,dens_1553194080174872005,0.2990926070137027,-0.0110306961418446
15643,19,n14,[#6:1],epsilon,CCCC#N,c1ccccc1,Density,dens_1950627772023797339,0.8448387927125353,-0.0110280308863243
21007,19,n14,[#6:1],epsilon,Cc1ccccc1N,Cc1cccnc1,EnthalpyOfMixing,dhmix_382843935535082222,35.61085137539533,-0.0110053589304387
40303,19,n14,[#6:1],epsilon,CC(=O)CC(C)=O,O,EnthalpyOfMixing,dhmix_1311251505653939236,20.786486189766418,-0.0109658259470746
4447,19,n14,[#6:1],epsilon,CC(=O)c1ccccc1,CC(C)O,EnthalpyOfMixing,dhmix_44217680865702366,25.589588765896252,-0.0106336092082815
36415,19,n14,[#6:1],epsilon,C1CCOCC1,c1ccncc1,Density,dens_800807749587668066,0.5796412252614757,-0.0106203983520437
6355,19,n14,[#6:1],epsilon,CCC(C)=O,CCN(CC)CC,Density,dens_1635002920322954883,0.4084752973127626,-0.0105658150315598
10531,19,n14,[#6:1],epsilon,CN(C)C=O,ClCCCl,Density,dens_1874616475661316520,0.2830339448744713,-0.0104821820065634
18991,19,n14,[#6:1],epsilon,CCCCCCC,CNc1ccccc1,Density,dens_2074014246120135820,0.8534453192885726,-0.0104804403666467
4627,19,n14,[#6:1],epsilon,CC(=O)c1ccccc1,CC(C)O,Density,dens_1804860114822214449,1.1051262075029151,-0.0104785599219697
17479,19,n14,[#6:1],epsilon,C1COCCO1,CCCC(C)=O,Density,dens_1815088975543208186,0.3940245645455057,-0.0104529593160074
19459,19,n14,[#6:1],epsilon,CN1CCCC1=O,ClCCCl,Density,dens_307445163336341047,0.2953716558415492,-0.0104431339393738
25795,19,n14,[#6:1],epsilon,CCCCCCCl,CN(C)C=O,Density,dens_1862934255267356180,0.3118105704754348,-0.0103279642383806
8479,19,n14,[#6:1],epsilon,C1COCCO1,O=C1CCCCCC1,Density,dens_1973863157285112004,0.3080691612671974,-0.0102833003031157
8875,19,n14,[#6:1],epsilon,CCC(C)=O,CNc1ccccc1,EnthalpyOfMixing,dhmix_1637459312398636454,-47.499824077131365,-0.0101787438318457
6967,19,n14,[#6:1],epsilon,C1COCO1,O=C1CCCC1,Density,dens_1663189314624242951,0.3225218555216362,-0.0101088616144804
22015,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1cccnc1,Density,dens_1179184695460672925,0.5029731389672641,-0.0100612538908054
3295,19,n14,[#6:1],epsilon,CN(C)C=O,Cc1ccccc1Cl,EnthalpyOfMixing,dhmix_674882857451857086,19.49474758743611,-0.0099223058598359
5239,19,n14,[#6:1],epsilon,CC(=O)CC(C)C,CCC(C)(C)O,EnthalpyOfMixing,dhmix_1565593158104493647,9.155071159265551,-0.0098100963953424
11971,19,n14,[#6:1],epsilon,CCCCCl,CN1CCCC1=O,Density,dens_897975104490051322,0.2737049192310349,-0.0096835180844174
11719,19,n14,[#6:1],epsilon,BrCCCBr,CCCCOC(=O)CCC,Density,dens_720277045338028885,0.1711327108974352,-0.0096582605105971
3223,19,n14,[#6:1],epsilon,CCCCCC,Cc1ccccc1,Density,dens_2241575426887298365,0.414612639834762,-0.0096500124196798
34327,19,n14,[#6:1],epsilon,CCCOC(=O)CC,Cc1ccccc1,Density,dens_1826904081955826008,0.7792600280823772,-0.0096254644749518
30979,19,n14,[#6:1],epsilon,COc1ccccc1,OCCc1ccccc1,EnthalpyOfMixing,dhmix_1415130215717622630,37.48461519195334,-0.0094866666460602
19927,19,n14,[#6:1],epsilon,BrCCBr,COC(C)=O,Density,dens_344993892965738820,0.6541289830680052,-0.0094704865025797
8011,19,n14,[#6:1],epsilon,CC(=O)N(C)C,ClCCCl,Density,dens_1432716574300574119,0.2195240375466601,-0.0094534494122775
7795,19,n14,[#6:1],epsilon,C1CCOCC1,Cc1ccccn1,Density,dens_1237050172671894703,1.2958507618684465,-0.0094451200044831
811,19,n14,[#6:1],epsilon,C1CCCCC1,CN1CCCC1=O,Density,dens_1606235786379262481,0.2317092878926836,-0.0091910657952912
38827,19,n14,[#6:1],epsilon,CCCO,O=Cc1ccccc1,Density,dens_1530410585842005416,0.4973847126422535,-0.009136254038614
