,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
29,dhmix_2125558080831870503,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2736,,Cc1ccccn1,Solvent,0.7263999999999999,,-1.2462,0.0254,10.1016/j.jct.2010.12.028
30,dhmix_1453612193040378117,298.2,100.0,Liquid,2,CN(C)CCO,Solvent,0.4972,,CO,Solvent,0.5028,,-0.8673,0.00935,10.1021/je800334m
31,dhmix_2113387918969192804,298.2,100.0,Liquid,2,CN(C)CCO,Solvent,0.2479,,CO,Solvent,0.7521,,-0.8057,0.0087,10.1021/je800334m
32,dhmix_2220842061395014218,298.2,100.0,Liquid,2,CN(C)CCO,Solvent,0.7506,,CO,Solvent,0.2493999999999999,,-0.5322,0.00585,10.1021/je800334m
33,dhmix_21994921667950318,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.5001,,CCCO,Solvent,0.4999,,0.595,0.0055,10.1021/je5004912
34,dhmix_829065315899278784,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.75,,CCCO,Solvent,0.25,,0.682,0.006,10.1021/je5004912
35,dhmix_2167083041249157622,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.1501,,CCCO,Solvent,0.8499,,0.192,0.005,10.1021/je5004912
36,dhmix_22428169890990447,298.15,101.0,Liquid,2,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,0.286,,CCO,Solvent,0.714,,0.876,0.0265,10.1016/j.jct.2013.09.024
37,dhmix_57626661746168078,298.15,101.0,Liquid,2,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,0.701,,CCO,Solvent,0.299,,1.0,0.0305,10.1016/j.jct.2013.09.024
38,dhmix_287041928444283276,298.15,101.0,Liquid,2,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,0.488,,CCO,Solvent,0.512,,1.109,0.0335,10.1016/j.jct.2013.09.024
39,dhmix_24700325920498635,298.15,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.7994,,CCOC(C)(C)CC,Solvent,0.2006,,0.448,0.0073,10.1021/je300670n
40,dhmix_252628078473967793,298.15,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.2996999999999999,,CCOC(C)(C)CC,Solvent,0.7003,,0.9727,0.0132,10.1021/je300670n
41,dhmix_980734994193955874,298.15,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.4987,,CCOC(C)(C)CC,Solvent,0.5013,,0.8937,0.01225,10.1021/je300670n
42,dhmix_1373657903424456878,298.15,101.0,Liquid,2,CCCCCC,Solvent,0.1586,,Cc1ccccc1,Solvent,0.8414,,0.3163,0.0043,10.1016/j.jct.2006.08.011
43,dhmix_1383995974797334848,298.15,101.0,Liquid,2,CCCCCC,Solvent,0.4723,,Cc1ccccc1,Solvent,0.5277000000000001,,0.5467,0.00715,10.1016/j.jct.2006.08.011
44,dhmix_1412344026798360911,298.15,101.0,Liquid,2,CCCCCC,Solvent,0.7484,,Cc1ccccc1,Solvent,0.2516,,0.393,0.00525,10.1016/j.jct.2006.08.011
