FF_ref,stat_ref,n_ref,mle_ref,stderr_ref,mean_ref,low_ref,high_ref,group,FF_tgt,stat_tgt,n_tgt,mle_tgt,stderr_tgt,mean_tgt,low_tgt,high_tgt,mle_diff,Change
Sage 2.2.1,RMSE,141177,0.0205702377988914,3.746082178604246e-05,0.0205697248453939,0.0204976045272263,0.020646696812172,b2,v3-k100,RMSE,141177,0.0137320661013139,4.09892873935781e-05,0.0137324219491159,0.0136586556570372,0.013816379935057,-0.0068381716975775,Improved
Sage 2.2.1,RMSE,3312,0.01849853629486,0.0002990023896822,0.0184938503484693,0.0179302029012768,0.0190850498161651,b15,v3-k100,RMSE,3312,0.0118781533462184,0.0001765823169375,0.0118818790900464,0.0115423222340988,0.0122509927883102,-0.0066203829486416,Improved
Sage 2.2.1,RMSE,30362,0.025542030670168,0.0001056759352828,0.0255383974020218,0.0253253666185725,0.025743250473767,b3,v3-k100,RMSE,30362,0.0189483048590253,0.0001228858367754,0.0189507167638394,0.018727653845846,0.0192094414937804,-0.0065937258111427,Improved
Sage 2.2.1,RMSE,55072,0.0260147167423543,9.214663047078194e-05,0.0260146639862112,0.0258391091929435,0.0261855192278,b16,v3-k100,RMSE,55072,0.0200540450714396,9.527828435551473e-05,0.0200503625020302,0.0198701769350526,0.0202375027110532,-0.0059606716709146995,Improved
Sage 2.2.1,RMSE,2144,0.0184397299741025,0.0003379847456923,0.0184368847046194,0.0177737812738659,0.0190814642140905,b65,v3-k100,RMSE,2144,0.0126089479250894,0.0002286533746547,0.0126224893508686,0.012190318627516,0.0130796629705355,-0.005830782049013099,Improved
Sage 2.2.1,RMSE,1066,0.036440023141299,0.0005882194693432,0.0364373835930565,0.0353142397893518,0.0376575938894806,b37,v3-k100,RMSE,1066,0.0310641773526827,0.0005556643874987,0.0310347337999528,0.0299937203577405,0.0322245091361223,-0.005375845788616301,Improved
Sage 2.2.1,RMSE,303714,0.0183994344087984,2.145952800723601e-05,0.0183987552214013,0.0183566949738982,0.0184401162806428,b1,v3-k100,RMSE,303714,0.0139870852935483,2.1659815708774456e-05,0.0139864293725059,0.0139437574145332,0.0140283205842096,-0.004412349115250101,Improved
Sage 2.2.1,RMSE,750555,0.0160511799714515,1.0722669753526304e-05,0.0160514956815412,0.0160295026325965,0.0160717868210675,b5,v3-k100,RMSE,750555,0.0121718035461315,1.4420037551227789e-05,0.0121720956339213,0.012145069355991,0.0122017046762268,-0.003879376425320002,Improved
Sage 2.2.1,RMSE,417484,0.0281015693747966,2.649671614581244e-05,0.0281010171597518,0.0280506390206534,0.0281542904330781,b7,v3-k100,RMSE,417484,0.0243194149485341,2.9551949690591666e-05,0.02431904601978,0.0242608463144315,0.024377292272388,-0.0037821544262625004,Improved
Sage 2.2.1,RMSE,8231,0.0226067123251682,0.0001590079293296,0.0226041943999465,0.0223105624283688,0.0229218718168467,b20,v3-k100,RMSE,8231,0.0188963591420952,0.0002269547611671,0.0188875693033391,0.0184376260035785,0.0193533796413391,-0.0037103531830729973,Improved
